Region,Team Name,Rating
LPL,FunPlus Phoenix,1573.54
LPL,Team WE,1551.77
LPL,Anyone's Legend,1439.05
LPL,Invictus Gaming,1522.69
LPL/MSI,Bilibili Gaming,1840.7
LPL/MSI,JD Gaming,1989.74
LPL,LGD Gaming,1463.71
LPL,Rare Atom,1444.35
LPL,Royal Never Give Up,1613.21
LPL,Oh My God,1622.6
LPL,Ultra Prime,1383.18
LPL,Ninjas in Pyjamas,1535.61
LPL/WLDs,EDward Gaming,1627.85
LPL/WLDs,Top Esports,1645.1
LPL,ThunderTalk Gaming,1540.68
LPL/WLDs,LNG Esports,1868.46
LCK/WLDs,Dplus KIA,1680.05
LCK/WLDs,DRX,1426.9
LCK/MSI,T1,1748.38
LCK/MSI,Gen.G,1919.99
LPL/WLDs,Weibo Gaming,1735.87
LCK,Kwangdong Freecs,1381.62
LCK/WLDs,Hanwha Life Esports,1667.18
LCK,Nongshim RedForce,1450.22
LCK,BRION,1382.04
LCK/WLDs,KT Rolster,1839.67
LCK,Liiv SANDBOX,1502.38
CBLOL/MSI,LOUD,1613.55
CBLOL,paiN Gaming,1478.47
LEC,Excel Esports,1502.36
LEC/MSI,G2 Esports,1754.63
CBLOL,Liberty,1200.36
CBLOL,KaBuM! Esports,1168.24
LEC,KOI,1473.84
LEC,Team BDS,1540.24
CBLOL,Los Grandes,1336.57
CBLOL,Fluxo,1349.77
CBLOL,RED Canids,1457.27
CBLOL,INTZ,1349.92
LEC,Astralis,1434.34
LEC,Team Heretics,1501.44
CBLOL,Vivo Keyd Stars,1376.75
CBLOL,FURIA,1331.98
LEC/MSI,MAD Lions,1548.09
LEC,SK Gaming,1437.68
LEC,Team Vitality,1444.97
LEC,Fnatic,1560.18
LLA,Isurus,1382.77
LLA,Estral Esports,1501.13
LLA,INFINITY,1403.51
LLA,Team Aze,1208.6
LLA/MSI,Movistar R7,1618.41
LLA,All Knights,1196.8
LLA,Six Karma,1470.8
LLA,The Kings,1288.29
LCS/MSI,Cloud9,1709.9
LCS,100 Thieves,1457.56
LCS,Evil Geniuses,1504.27
LCS/MSI,Golden Guardians,1651.17
LCS,Team Liquid,1568.25
LCS,FlyQuest,1494.05
LCS,Counter Logic Gaming,1492.48
LCS,Dignitas,1390.87
LCS,Immortals,1350.47
LCS,TSM,1416.04
LJL/MSI,DetonatioN FocusMe,1649.28
LJL,Sengoku Gaming,1452.87
LJL,Burning Core,1265.91
LJL,Crest Gaming Act,1195.78
LJL,AXIZ,1275.03
LJL,V3 Esports,1014.6
LJL,FENNEL,1389.04
LJL,Fukuoka SoftBank HAWKS gaming,1516.94
PCS,CTBC Flying Oyster,1566.55
PCS,Beyond Gaming,1571.22
PCS/MSI,PSG Talon,1642.82
PCS,SEM9 WPE,1212.8
PCS,Dewish Team,1072.96
PCS,Impunity,1171.41
PCS,J Team,1437.98
PCS,Deep Cross Gaming,1409.5
PCS,Frank Esports,1503.37
PCS,HELL PIGS,1271.12
VCS,Saigon Buffalo,1359.23
VCS,Team Secret,1419.3
VCS,Team Whales,1395.61
VCS,MGN Box Esports,1153.5
VCS,Team Flash,1276.74
VCS/MSI,GAM Esports,1539.48
VCS,SBTC Esports,1443.9
VCS,CERBERUS Esports,1314.97
PCS,Chiefs Esports Club,1252.46
PCS,Team Bliss,1227.25
LLA,Leviatan,1197.2
LCK,OKSavingsBank BRION,1543.78
LCS,NRG,1642.6
PCS,WP Gaming,1334.68
PCS,West Point Esports,1354.8
PCS,PSG Talon Academy,1394.32
PCS,Nate9527,1389.76
